Ax,Ay,Az,Gx,Gy,Gz,Label
-0.012,-0.024,1.017,0.192,-1.995,0.096,Idle
-0.012,-0.023,1.020,0.210,-2.039,0.070,Idle
-0.012,-0.023,1.015,0.210,-1.977,0.114,Idle
-0.012,-0.024,1.019,0.228,-2.030,0.087,Idle
-0.012,-0.024,1.021,0.201,-2.030,0.114,Idle
-0.012,-0.025,1.019,0.210,-2.004,0.123,Idle
-0.013,-0.024,1.019,0.184,-2.004,0.140,Idle
-0.013,-0.024,1.016,0.149,-2.004,0.114,Idle
-0.013,-0.023,1.019,0.184,-2.030,0.105,Idle
-0.012,-0.022,1.017,0.175,-2.021,0.087,Idle
-0.013,-0.023,1.016,0.201,-2.021,0.105,Idle
-0.012,-0.024,1.018,0.210,-2.021,0.079,Idle
-0.012,-0.023,1.019,0.149,-2.004,0.123,Idle
-0.013,-0.023,1.019,0.175,-2.039,0.061,Idle
-0.012,-0.023,1.018,0.201,-2.074,0.087,Idle
-0.013,-0.024,1.019,0.210,-1.995,0.061,Idle
-0.012,-0.024,1.019,0.140,-2.047,0.079,Idle
-0.012,-0.023,1.019,0.166,-2.013,0.096,Idle
-0.012,-0.024,1.018,0.184,-2.039,0.079,Idle
-0.012,-0.025,1.019,0.149,-1.995,0.096,Idle
-0.011,-0.024,1.018,0.175,-2.021,0.105,Idle
-0.012,-0.024,1.020,0.228,-1.986,0.096,Idle
-0.012,-0.024,1.020,0.166,-2.013,0.105,Idle
-0.012,-0.025,1.020,0.166,-2.047,0.105,Idle
-0.013,-0.026,1.021,0.236,-2.030,0.087,Idle
-0.012,-0.024,1.018,0.210,-2.013,0.070,Idle
-0.013,-0.024,1.017,0.157,-2.021,0.070,Idle
-0.013,-0.025,1.018,0.201,-2.013,0.087,Idle
-0.012,-0.024,1.016,0.157,-2.013,0.052,Idle
-0.011,-0.024,1.019,0.201,-2.013,0.114,Idle
-0.012,-0.025,1.018,0.219,-2.047,0.079,Idle
-0.012,-0.024,1.019,0.184,-2.013,0.140,Idle
-0.012,-0.024,1.018,0.166,-2.030,0.096,Idle
-0.012,-0.024,1.018,0.157,-2.056,0.114,Idle
-0.011,-0.024,1.019,0.201,-2.047,0.114,Idle
-0.013,-0.024,1.019,0.192,-2.013,0.070,Idle
-0.012,-0.024,1.018,0.175,-2.039,0.044,Idle
-0.011,-0.024,1.017,0.219,-2.013,0.105,Idle
-0.013,-0.024,1.017,0.157,-2.004,0.087,Idle
-0.013,-0.024,1.018,0.175,-2.047,0.087,Idle
-0.011,-0.024,1.018,0.201,-1.995,0.070,Idle
-0.012,-0.024,1.017,0.201,-2.013,0.114,Idle
-0.012,-0.023,1.018,0.157,-2.047,0.114,Idle
-0.012,-0.024,1.018,0.192,-2.013,0.061,Idle
-0.011,-0.024,1.018,0.201,-2.013,0.131,Idle
-0.012,-0.024,1.019,0.184,-2.056,0.087,Idle
-0.011,-0.024,1.018,0.184,-2.074,0.052,Idle
-0.012,-0.023,1.019,0.210,-2.013,0.087,Idle
-0.012,-0.024,1.017,0.192,-2.056,0.061,Idle
-0.012,-0.025,1.017,0.192,-2.013,0.096,Idle
-0.012,-0.024,1.018,0.201,-2.004,0.052,Idle
